Entity,Code,Year,emissions_from_oil
China,CHN,1985,284593340
China,CHN,1986,303068300
China,CHN,1987,321523870
China,CHN,1988,343129950
China,CHN,1989,354440700
China,CHN,1990,330291780
China,CHN,1991,356026700
China,CHN,1992,385793540
China,CHN,1993,428548770
China,CHN,1994,423711780
China,CHN,1995,468229900
China,CHN,1996,510622370
China,CHN,1997,557960640
China,CHN,1998,559261950
China,CHN,1999,596751400
China,CHN,2000,648684860
China,CHN,2001,659300860
China,CHN,2002,653086600
China,CHN,2003,727098800
China,CHN,2004,839096300
China,CHN,2005,850176260
China,CHN,2006,898537340
China,CHN,2007,927354750
China,CHN,2008,970120960
China,CHN,2009,982354560
China,CHN,2010,1092572300
China,CHN,2011,1123862400
China,CHN,2012,1176715500
China,CHN,2013,1234622000
China,CHN,2014,1255608800
China,CHN,2015,1328812400
China,CHN,2016,1357841800
China,CHN,2017,1430594200
China,CHN,2018,1500477700
China,CHN,2019,1559739100
China,CHN,2020,1523058300
China,CHN,2021,1521109100
China,CHN,2022,1559720800
China,CHN,2023,1729580300
China,CHN,2024,1705385700
India,IND,1985,116759680
India,IND,1986,121857310
India,IND,1987,127671120
India,IND,1988,133614170
India,IND,1989,150714020
India,IND,1990,158166610
India,IND,1991,166422540
India,IND,1992,188055790
India,IND,1993,186877700
India,IND,1994,198955200
India,IND,1995,216281280
India,IND,1996,243161360
India,IND,1997,244202910
India,IND,1998,262892000
India,IND,1999,301469400
India,IND,2000,313440860
India,IND,2001,317363140
India,IND,2002,325889400
India,IND,2003,331332700
India,IND,2004,348992420
India,IND,2005,353149700
India,IND,2006,370543870
India,IND,2007,392817760
India,IND,2008,414204130
India,IND,2009,433770900
India,IND,2010,440692000
India,IND,2011,461370000
India,IND,2012,491147520
India,IND,2013,498314460
India,IND,2014,513839700
India,IND,2015,557523140
India,IND,2016,616112450
India,IND,2017,634116000
India,IND,2018,658714750
India,IND,2019,677883650
India,IND,2020,607535170
India,IND,2021,623484600
India,IND,2022,684013760
India,IND,2023,718183040
India,IND,2024,747332800
United Kingdom,GBR,1985,205724930
United Kingdom,GBR,1986,201312220
United Kingdom,GBR,1987,193726670
United Kingdom,GBR,1988,206462620
United Kingdom,GBR,1989,222612600
United Kingdom,GBR,1990,217799800
United Kingdom,GBR,1991,218390340
United Kingdom,GBR,1992,218446770
United Kingdom,GBR,1993,219163180
United Kingdom,GBR,1994,215736320
United Kingdom,GBR,1995,211595040
United Kingdom,GBR,1996,216892460
United Kingdom,GBR,1997,207743340
United Kingdom,GBR,1998,204933890
United Kingdom,GBR,1999,201663020
United Kingdom,GBR,2000,198237970
United Kingdom,GBR,2001,198650750
United Kingdom,GBR,2002,196130340
United Kingdom,GBR,2003,194397360
United Kingdom,GBR,2004,197952290
United Kingdom,GBR,2005,200447660
United Kingdom,GBR,2006,197183100
United Kingdom,GBR,2007,196160260
United Kingdom,GBR,2008,188799540
United Kingdom,GBR,2009,180263890
United Kingdom,GBR,2010,179848420
United Kingdom,GBR,2011,172059740
United Kingdom,GBR,2012,170288370
United Kingdom,GBR,2013,165756480
United Kingdom,GBR,2014,166510700
United Kingdom,GBR,2015,170772560
United Kingdom,GBR,2016,173930290
United Kingdom,GBR,2017,174850620
United Kingdom,GBR,2018,173087120
United Kingdom,GBR,2019,168995540
United Kingdom,GBR,2020,143980930
United Kingdom,GBR,2021,149626350
United Kingdom,GBR,2022,146334370
United Kingdom,GBR,2023,154683900
United Kingdom,GBR,2024,159600030
United States,USA,1985,1954506400
United States,USA,1986,2036233100
United States,USA,1987,2082854800
United States,USA,1988,2172407600
United States,USA,1989,2163697700
United States,USA,1990,2139345700
United States,USA,1991,2082099100
United States,USA,1992,2130488800
United States,USA,1993,2144156500
United States,USA,1994,2181843700
United States,USA,1995,2174303500
United States,USA,1996,2257022700
United States,USA,1997,2273815600
United States,USA,1998,2320080100
United States,USA,1999,2374201300
United States,USA,2000,2440404700
United States,USA,2001,2448622000
United States,USA,2002,2443823000
United States,USA,2003,2505134300
United States,USA,2004,2571107300
United States,USA,2005,2584129800
United States,USA,2006,2550540000
United States,USA,2007,2538968000
United States,USA,2008,2370622700
United States,USA,2009,2243789800
United States,USA,2010,2258292700
United States,USA,2011,2212685800
United States,USA,2012,2152244200
United States,USA,2013,2178417200
United States,USA,2014,2210569200
United States,USA,2015,2235988000
United States,USA,2016,2252270300
United States,USA,2017,2259156700
United States,USA,2018,2305441300
United States,USA,2019,2299820000
United States,USA,2020,1991578800
United States,USA,2021,2182605600
United States,USA,2022,2198937000
United States,USA,2023,2199111000
United States,USA,2024,2189161000
World,OWID_WRL,1985,8247613400
World,OWID_WRL,1986,8490594000
World,OWID_WRL,1987,8579333000
World,OWID_WRL,1988,8889340000
World,OWID_WRL,1989,9037386000
World,OWID_WRL,1990,9196440000
World,OWID_WRL,1991,9656487000
World,OWID_WRL,1992,9154655000
World,OWID_WRL,1993,9172321000
World,OWID_WRL,1994,9196236000
World,OWID_WRL,1995,9283901000
World,OWID_WRL,1996,9562137000
World,OWID_WRL,1997,9702211000
World,OWID_WRL,1998,9821975000
World,OWID_WRL,1999,10064187000
World,OWID_WRL,2000,10211624000
World,OWID_WRL,2001,10283570000
World,OWID_WRL,2002,10269353000
World,OWID_WRL,2003,10540849000
World,OWID_WRL,2004,10924575000
World,OWID_WRL,2005,11030305000
World,OWID_WRL,2006,11142927000
World,OWID_WRL,2007,11184312000
World,OWID_WRL,2008,11143340000
World,OWID_WRL,2009,10899596000
World,OWID_WRL,2010,11253694000
World,OWID_WRL,2011,11310149000
World,OWID_WRL,2012,11432716000
World,OWID_WRL,2013,11516626000
World,OWID_WRL,2014,11561832000
World,OWID_WRL,2015,11770023000
World,OWID_WRL,2016,11900263000
World,OWID_WRL,2017,12085292000
World,OWID_WRL,2018,12142829000
World,OWID_WRL,2019,12325908000
World,OWID_WRL,2020,10932342000
World,OWID_WRL,2021,11513166000
World,OWID_WRL,2022,11914912000
World,OWID_WRL,2023,12278241000
World,OWID_WRL,2024,12470596000